tag; date; Home Team; Guest Team; Home Score; Guest Score; Home Corners; Guest Corner
UqUUmqn5; 21.04.2019 20:00; Hacken; Djurgarden; 0; 1; 3; 6
8zTYn31B; 20.04.2019 21:00; Sirius; Malmo FF; 0; 1; 4; 5
QiXDiRnt; 20.04.2019 18:30; Sundsvall; Kalmar; 1; 2; 6; 10
lWe8WsHU; 19.04.2019 21:00; Norrkoping; Falkenbergs; 4; 3; 5; 6
Auc4XN1O; 19.04.2019 21:00; Orebro; AIK; 2; 1; 3; 9
veyIjo2n; 19.04.2019 18:30; Ostersunds; Elfsborg; 1; 1; 7; 5
A5SazQH5; 16.04.2019 00:00; Djurgarden; Goteborg; 2; 1; 3; 1
44qHrlAP; 16.04.2019 00:00; Helsingborg; Hammarby; 2; 1; 4; 5
d2Oey62a; 14.04.2019 22:30; Malmo FF; Ostersunds; 2; 0; 5; 7
4SR3ZqXB; 14.04.2019 20:00; AIK; Sirius; 2; 1; 1; 4
6DVrv8It; 14.04.2019 20:00; Elfsborg; Sundsvall; 3; 1; 10; 5
EwZjxnmg; 13.04.2019 21:00; Kalmar; Norrkoping; 2; 2; 4; 4
zmzmwSXn; 13.04.2019 18:30; Falkenbergs; Hacken; 0; 3; 0; 9
rJQ7Y3nI; 13.04.2019 00:00; AFC Eskilstuna; Orebro; 1; 1; 3; 9
SMA9P83m; 09.04.2019 00:00; Norrkoping; AIK; 0; 0; 5; 3
EJ65Qlls; 09.04.2019 00:00; Orebro; Djurgarden; 0; 3; 4; 8
2a5YJ4XO; 09.04.2019 00:00; Sirius; AFC Eskilstuna; 3; 2; 3; 6
IB3MM6m6; 07.04.2019 22:30; Hammarby; Kalmar; 1; 1; 7; 2
d22QLQ2C; 07.04.2019 20:00; Goteborg; Elfsborg; 3; 0; 6; 3
0z9HNnYa; 07.04.2019 20:00; Ostersunds; Falkenbergs; 3; 2; 8; 5
jP1UKpII; 06.04.2019 21:00; Hacken; Helsingborg; 2; 1; 3; 8
MqADOSIg; 06.04.2019 21:00; Sundsvall; Malmo FF; 3; 1; 2; 10
SO5kKDR7; 02.04.2019 00:00; Djurgarden; Sundsvall; 2; 2; 5; 2
bqEYNeSr; 02.04.2019 00:00; Elfsborg; Hammarby; 1; 1; 6; 6
lY6oLgC1; 02.04.2019 00:00; Malmo FF; Hacken; 1; 1; 7; 2
YLhyrHJE; 31.03.2019 22:30; AFC Eskilstuna; Goteborg; 3; 1; 3; 6
dzS6SyKR; 31.03.2019 22:30; Helsingborg; Norrkoping; 3; 1; 2; 2
fVgXrc48; 31.03.2019 20:00; AIK; Ostersunds; 0; 0; 7; 3
h6DxNFsk; 31.03.2019 20:00; Falkenbergs; Orebro; 1; 0; 2; 4
69HtMZde; 31.03.2019 20:00; Kalmar; Sirius; 0; 2; 7; 4
